Author,Born-Died,TITLE,time,TECHNIQUE,LOCATION,LATITUDE,LONGITUDE,DESC,PRECISION,URL,FORM,TYPE,SCHOOL,TIMELINE,Genre,ID
FABBRINI Giuseppe Antonio,(b. ca. 1740 Firenze d. ca. 1795 Firenze),Side wall picture: The Fine Arts and Mercury,1777,Fresco,Villa Poggio Imperiale Arcetri Florence,43.7458687,11.2529402,Arcetri Tosc. Italy,city/town,http://www.wga.hu/art/f/fabbrini/poggio4.jpg,painting,mythological,French,1751-1800,Neoclassicism,/f/fabbrini/poggio4
FABBRINI Giuseppe Antonio,(b. ca. 1740 Firenze d. ca. 1795 Firenze),View of the Segretaria del Granduca,1777,Fresco,Villa Poggio Imperiale Arcetri Florence,43.7458687,11.2529402,Arcetri Tosc. Italy,city/town,http://www.wga.hu/art/f/fabbrini/poggio1.jpg,painting,interior,French,1751-1800,Neoclassicism,/f/fabbrini/poggio1
TERRENI Giuseppe Maria,(b. 1739 Livorno d. 1811 Livorno),View of the Sala delle Quattro Stagioni,Y1777,Fresco,Villa Poggio Imperiale Arcetri Florence,43.7458687,11.2529402,Arcetri Tosc. Italy,city/town,http://www.wga.hu/art/t/terreni/poggio4.jpg,painting,interior,Italian,1751-1800,Neoclassicism,/t/terreni/poggio4
HACKERT Georg Abraham,(b. 1755 Prenzlau d. 1805 Firenze),View near Sorrento,Y1777,Etching 870 x 48 mm,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/h/hackert/georg/sorrento.jpg,graphics,landscape,German,1751-1800,Neoclassicism,/h/hackert/georg/sorrento
SHCHEDRIN Semyon Fyodorovich,(b. 1745 St. Petersburg d. 1804 St. Pertersburg),View of the Large Pond in the Park in Tsarskoye Selo,1777,Pen and brush and Indian ink gouache and lacquer on paper pasted on cardboard 577 x 752 mm,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/s/shchedri/semyon/landsca2.jpg,graphics,landscape,Russian,1751-1800,Neoclassicism,/s/shchedri/semyon/landsca2
DAVID Jacques-Louis,(b. 1748 Paris d. 1825 Bruxelles),Hector,1778,Oil on canvas 123 x 172 cm,Muse Fabre Montpellier,43.6119995,3.8800001,Musee Fabre Hrault France,Museum,http://www.wga.hu/art/d/david_j/1/106david.jpg,painting,other,French,1801-1850,Neoclassicism,/d/david_j/1/106david
FUSELI John Henry,(b. 1741 Zurich d. 1825 London),The Artist Moved by the Grandeur of Antique Fragments,Y1778,Red chalk on sepia wash 415 x 355 mm,Kunsthaus Zurich,47.370224,8.5480356,Kunsthaus Zrich Switzerland,LandmarkBuilding,http://www.wga.hu/art/f/fuseli/02antiqu.jpg,graphics,other,Swiss,1751-1800,Romanticism,/f/fuseli/02antiqu
GANDOLFI Ubaldo,(b. 1728 San Matteo della Decima d. 1781 Ravenna),Portrait of a Young Boy,1778,Pastel on beige paper 395 x 285 mm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/g/gandolfi/ubaldo/portrait.jpg,graphics,portrait,Italian,1751-1800,Neoclassicism,/g/gandolfi/ubaldo/portrait
BANKS Thomas,(b. 1735 London d. 1805 London),Thetis Rising from the Sea,1778,Marble height 91 4 cm,Victoria and Albert Museum London,51.4969101,-0.17206,Victoria and Albert Museum United Kingdom,PointOfInterest,http://www.wga.hu/art/b/banks/thetis.jpg,sculpture,mythological,English,1751-1800,Neoclassicism,/b/banks/thetis
HACKERT Georg Abraham,(b. 1755 Prenzlau d. 1805 Firenze),View of the Environs of Carpentras,1778,Etching with line engraving 480 x 670 mm,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/h/hackert/georg/carpentr.jpg,graphics,landscape,German,1751-1800,Neoclassicism,/h/hackert/georg/carpentr
GOYA Y LUCIENTES Francisco de,(b. 1746 Fuendetodos d. 1828 Bordeaux),The Crockery Vendor,1779,Oil on canvas 259 x 220 cm,Museo del Prado Madrid,40.4138145,-3.6921949,Prado Museum Community of Madrid Spain,PointOfInterest,http://www.wga.hu/art/g/goya/1/16goya.jpg,tapestry,genre,Spanish,1801-1850,Romanticism,/g/goya/1/16goya
PEYRON Jean-Franois-Pierre,(b. 1744 Aix-en-Provence d. 1814 Paris),Belisarius Receiving Hospitality from a Peasant Who Had Served under Him,1779,Oil on canvas 93 x 132 cm,Muse des Augustins Toulouse,43.6008301,1.44611,Musee Des Augustins Haute-Garonne France,Museum,http://www.wga.hu/art/p/peyron/belisari.jpg,painting,historical,French,1751-1800,Neoclassicism,/p/peyron/belisari
FUSELI John Henry,(b. 1741 Zurich d. 1825 London),The Three Conspirators Swear an Oath on the Rthli Meadow,1779,Pen and sepia over pencil drawing 414 x 345 mm,Kunsthaus Zurich,47.370224,8.5480356,Kunsthaus Zrich Switzerland,LandmarkBuilding,http://www.wga.hu/art/f/fuseli/031ruthl.jpg,graphics,historical,Swiss,1751-1800,Romanticism,/f/fuseli/031ruthl
FUSELI John Henry,(b. 1741 Zurich d. 1825 London),Ezzelin and Meduna,1779,Oil on canvas 45 7 x 50 8 cm,Sir John Soane's Museum London,51.5171013,-0.116914,Sir John Soane's Museum United Kingdom,LandmarkBuilding,http://www.wga.hu/art/f/fuseli/03ezzeli.jpg,painting,other,Swiss,1751-1800,Romanticism,/f/fuseli/03ezzeli
HACKERT Georg Abraham,(b. 1755 Prenzlau d. 1805 Firenze),Ruins of the Augustan Bridge at Narni,1779,Etching with line engraving 535 x 710 mm,The Hermitage St. Petersburg,59.9331818,30.3060398,St Petersburg Russia,city/town,http://www.wga.hu/art/h/hackert/georg/narni.jpg,graphics,landscape,German,1751-1800,Neoclassicism,/h/hackert/georg/narni
GOYA Y LUCIENTES Francisco de,(b. 1746 Fuendetodos d. 1828 Bordeaux),Fight with a Young Bull,1780,Oil on canvas 259 x 136 cm,Museo del Prado Madrid,40.4138145,-3.6921949,Prado Museum Community of Madrid Spain,PointOfInterest,http://www.wga.hu/art/g/goya/1/17goya.jpg,tapestry,genre,Spanish,1801-1850,Romanticism,/g/goya/1/17goya
GOYA Y LUCIENTES Francisco de,(b. 1746 Fuendetodos d. 1828 Bordeaux),The Holy Family,1780,Oil on canvas 200 x 148 cm,Museo del Prado Madrid,40.4138145,-3.6921949,Prado Museum Community of Madrid Spain,PointOfInterest,http://www.wga.hu/art/g/goya/1/18goya.jpg,painting,religious,Spanish,1801-1850,Romanticism,/g/goya/1/18goya
DAVID Jacques-Louis,(b. 1748 Paris d. 1825 Bruxelles),St Roch Asking the Virgin Mary to Heal Victims of the Plague,1780,Oil on wood 260 x 195 cm,Muse des Beaux-Arts Marseille,43.2933693,5.3713002,Marseille Bouches-du-Rhne France,city/town,http://www.wga.hu/art/d/david_j/1/108david.jpg,painting,religious,French,1801-1850,Neoclassicism,/d/david_j/1/108david
VALENCIENNES Pierre-Henri de,(b. 1750 Toulouse d. 1819 Paris),Farm-buildings at the Villa Farnese: the Two Poplar Trees,1780,Oil on paper on cardbord 25 x 38 cm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/v/valencie/farnese.jpg,painting,landscape,French,1751-1800,Neoclassicism,/v/valencie/farnese
VALENCIENNES Pierre-Henri de,(b. 1750 Toulouse d. 1819 Paris),Rome: Study of Clouds,Y1780,Oil on paper mounted on board 24 x 39 cm,Muse du Louvre Paris,48.8610878,2.3357501,Louvre Paris France,TouristStructure,http://www.wga.hu/art/v/valencie/romeclou.jpg,painting,study,French,1751-1800,Neoclassicism,/v/valencie/romeclou
