AUTHOR,Genre
UKHTOMSKY  Konstantin Andreyevich,Realism
URY  Lesser,Impressionism
VAFFLARD  Pierre-Auguste,Romanticism
VALENCIENNES  Pierre-Henri de,Neoclassicism
VALLOTTON  Félix,Realism
VANDERLYN  John,Romanticism
VEIT  Philipp,Romanticism
VELDE  Henry van de,Impressionism
VERBOECKHOVEN  Eugène-Joseph,Romanticism
VERESHCHAGIN  Vasily Petrovich,Realism
VERESHCHAGIN  Vasily Vasilyevich,Realism
VERHEYEN  Jan Hendrik,Romanticism
VERNET  Carle,Neoclassicism
VERNET  Horace,Romanticism
VERON  Alexandre Paul Joseph,Romanticism
VERSCHUUR  Wouter,Realism
VIEN  Joseph-Marie,Neoclassicism
VINCENT  François-André,Neoclassicism
VINEA  Francesco,Realism
VOGEL VON VOGELSTEIN  Carl Christian,Romanticism
VOLLON  Antoine,Realism
VONNOH  Robert William,Impressionism
VUILLARD  Édouard,Impressionism
WALDMÜLLER  Fedinand Georg,Romanticism
WALTON  Edward Arthur,Impressionism
WARD  James,Romanticism
WASMANN  Friedrich,Romanticism
WATERHOUSE  John William,Realism
WEBB  James,Realism
WEBER  Henrik,Romanticism
WEIR  Julian Alden,Impressionism
WEISGERBER  Albert,Impressionism
WERENSKIOLD  Erik,Impressionism
WESTERHOLM  Victor Axel,Impressionism
WHISTLER  James Abbot McNeill,Impressionism
WIERTZ  Antoine,Romanticism
WILKIE  Sir David,Romanticism
WILLIAMS  George Augustus,Realism
WIMAR  Carl,Realism
WINTERHALTER  Franz Xaver,Romanticism
WITTMER  Johann Michael,Romanticism
WYLD  William,Realism
YVON  Adolphe,Realism
ZANDOMENEGHI  Federico,Impressionism
ZARYANKO  Sergey Konstantinovich,Neoclassicism
ZICHY  Mihály,Realism
ZIEM  Félix,Realism
ZORN  Anders,Impressionism
ZULOAGA Y ZABALETA  Ignacio,Impressionism
