AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,LANTITUDE,LONGTUDE,DESC,SOURCE,PRECISION,URL,FORM,TYPE,SCHOOL,TIMELINE,Genre
Edouard Manet,(b. 1832  Paris  d. 1883  Paris),Still-Life with Fish,1864,Oil on canvas  73 x 92 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/m/manet/1/6stilli4.jpg,painting,still-life,French,1851-1900,Impressionism
Jean-Frédéric Bazille,(b. 1841  Montpellier  d. 1870  Beaune-la-Rolande),Self-Portrait with Palette,1865,Oil on canvas  109 x 71 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/b/bazille/02selfpo.jpg,painting,portrait,French,1851-1900,Impressionism
Edouard Manet,(b. 1832  Paris  d. 1883  Paris),The Races at Longchamp,1866,Oil on canvas  44 x 85 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/m/manet/2/2manet02.jpg,painting,other,French,1851-1900,Impressionism
Claude Monet,(b. 1840  Paris  d. 1926  Giverny),Beach at Sainte-Adresse,1867,Oil on canvas  76 x 102 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/m/monet/01/early17.jpg,painting,landscape,French,1851-1900,Impressionism
Claude Monet,(b. 1840  Paris  d. 1926  Giverny),On the Bank of the Seine  Bennecourt,1868,Oil on canvas  82 x 101 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/m/monet/02/1vario04.jpg,painting,landscape,French,1851-1900,Impressionism
Henri Fantin-Latour,(b. 1836  Grenoble  d. 1904  Orne),Corner of the Table,1873,Oil on canvas  97 x 125 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/f/fantin/corner.jpg,painting,still-life,French,1851-1900,Realism
Paul Cézanne,(b. 1839  Aix-en-Provence  d. 1906  Aix-en-Provence),View of Auvers,1874,Oil on canvas  65 x 81 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/c/cezanne/2/1lands07.jpg,painting,landscape,French,1851-1900,Impressionism
Pierre-Auguste Renoir,(b  1841  Limoges  d. 1919  Cagnes-sur-Mer),The Rowers' Lunch,1875,Oil on canvas  54 x 65 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/r/renoir/2/2renoi12.jpg,painting,genre,French,1851-1900,Impressionism
Edgar Degas,(b. 1834  Paris  d. 1917  Paris),Dancers Preparing for the Ballet,1875,Oil on canvas  74 x 61 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/d/degas/2/1870s_20.jpg,painting,other,French,1851-1900,Impressionism
Gustave Caillebotte,(b. 1848  Paris  d. 1894  Gennevilliers),Paris Street  Rainy Day,1877,Oil on canvas  212 x 276 cm,Art Institute  Chicago,41.8842506,-87.6324463,Chicago  IL,Bing Maps,city/town,http://www.wga.hu/detail/c/caillebo/04rainy.jpg,painting,landscape,French,1851-1900,Impressionism
